"Jan 02, 2026","Specification of the consequential requirements with respect to Amendment of Securities and Exchange Board of India (Merchant Bankers) Regulations, 1992"
"Dec 30, 2025",Certification requirement for Compliance Officers of Managers of AIFs
"Dec 24, 2025",Ease of doing investment - Review of simplification of procedure and standardization of formats of documents for issuance of duplicate certificates
"Dec 24, 2025",Ease of investments and ease of doing business measures – enhancing the ‘Facility for Basic Services Demat Account (BSDA)’
"Dec 18, 2025",Modification in the conditions specified for reduction in denomination of debt securities
"Dec 16, 2025",Mandating periodic disclosure requirements- Securitised Debt Instruments (SDIs)
"Dec 12, 2025",Provisions relating to Strengthening Governance of Market Infrastructure Institutions (MIIs)
"Dec 11, 2025","Deferment of timeline for implementation of Phase III of Nomination Circular dated January 10, 2025 read with Circular dated February 28, 2025 and July 30, 2025"
"Dec 10, 2025",Relaxation on geo tagging requirement in India for NRIs while  undertaking re-KYC
"Dec 08, 2025","Modalities for migration to AI only schemes and relaxations to Large Value Funds for Accredited Investors under SEBI (Alternative Investment Funds) Regulations, 2012"
"Dec 08, 2025",Clarification on the Digital Accessibility circulars of SEBI
"Nov 28, 2025",Reclassification of Real Estate Investment Trusts (REITs) as equity related instruments for facilitating enhanced participation by Mutual Funds and Specialized Investment Funds (SIFs)
"Nov 27, 2025",Additional incentives to distributors for onboarding new individual investors from B-30 cities and women investors
"Nov 25, 2025",Specification of the terms and conditions for Debenture Trustees for carrying out activities outside the purview of SEBI
"Nov 25, 2025","Modifications to Chapter IV of the Master Circular for Debenture Trustees dated August 13, 2025"
"Nov 25, 2025",Timeline for submission of information by the Issuer to the Debenture Trustee(s)
"Oct 30, 2025",Implementation of eligibility criteria for derivatives on existing Non-Benchmark Indices
"Oct 30, 2025",Ease of doing business – Interim arrangement for certified past performance of Investment Advisers and Research Analysts prior to operationalisation of Past Risk and Return Verification Agency (“PaRRVA”)
"Oct 30, 2025",Ease of doing business measures - Enabling Investment Advisers (“IAs”) to provide second opinion to clients on assets under pre-existing distribution arrangement
"Oct 30, 2025",Further extension of timeline for mandatory implementation of systems and processes by Qualified Stock Brokers (QSBs) with respect to T+0 settlement cycle
"Oct 24, 2025",Transfer of portfolios of clients (PMS business) by Portfolio Managers.
"Oct 15, 2025",Relaxation in timeline for disclosure of allocation methodology by Angel Funds
"Oct 13, 2025",Minimum information to be provided to the Audit Committee and Shareholders for approval of Related Party Transactions
"Oct 08, 2025",Review of Block Deal Framework
"Sep 30, 2025","Extension of timeline for implementation of SEBI Circular dated February 04, 2025 on ‘Safer participation of retail investors in Algorithmic trading’"
